"","Scientific.name","SpcRecID","English.name","Family","Global.IUCN.Red.List.Category","Common.Name","Type.of.migration","Distribution.in.Indian.Sub.Continent","World.Distribution"
"122","Lanius tephronotus",5534,"Grey-backed Shrike","Laniidae (Shrikes)","LC","Grey-backed Shrike","local resident & widespread winter visitor","Himalayas, Ladakh to Arunachal, Terai, Daurs, S Assam hills (Khasi hills & Manipur), Calcutta, Bangladesh","China, Tibet, SE Asia"
"123","Larus brunnicephalus",3233,"Brown-headed Gull","Laridae (Gulls, Terns, Skimmers)","LC","Brown-headed Gull","widespread winter visitor & resident","Ladakh, saline lakes ( Panjab salt range, NWFP;NW Pakistan, Sambhar Lake;Rajasthan, salt Lakes near Calcutta), coast from Sri Lanka to Baluchistan, Gangetic plains, Bangladesh, Himalayas, W India, Maldives","C Asia, ME to SE Asia"
"124","Larus cachinnans",32603,"Caspian Gull","Laridae (Gulls, Terns, Skimmers)","LC","Caspian Gull","sparse winter visitor","Posible winterer to North West","SW Asia"
"125","Larus genei",3241,"Slender-billed Gull","Laridae (Gulls, Terns, Skimmers)","LC","Slender-billed Gull","widespread winter visitor","SW & E Afghanistan ( Seistan, Lake Ab-i-Estada, Kabul), N Baluchistan, Pakistan coast (Mekran), Gujarat, W & SE Indian coast, Sri Lanka (Mannar), Indian Panjab to SE Nepal","Mediterranean sea to WC Asia"
"126","Larus ichthyaetus",3232,"Pallas's Gull","Laridae (Gulls, Terns, Skimmers)","LC","Great Black-headed Gull","widespread winter visitor","coasts from Baluchistan to Sri Lanka, Bangladesh, Gangetic plains, Assam valley, Cachar, C India, NE & SW Afghanistan (Wakhan, Seistan), Ladakh, Nepal to Arunachal, Maldives","W & C Asia, E Africa to E Asia"
"127","Larus ridibundus",3240,"Black-headed Gull","Laridae (Gulls, Terns, Skimmers)","LC","Common Black-headed Gull","widespread winter visitor","N, W & E Afghanistan, N Baluchistan, Baluchistan & Sind coast, Indus Valley (Pakistan), NW & C india, Rajasthan, Gangetic plains to Assam, Cachar, Gujarat , W Indian coast, Maldives, Sri Lanka","N & C Eurasia , Paleotropics"
"128","Limnodromus semipalmatus",3038,"Asian Dowitcher","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT","Asian Dowitcher","sparse winter visitor","Ecoast India,Sri Lanka, SW Bengal (Calcutta), Bangladesh, Assam (Dibrugarh), Meghalaya (shillong-Baker)","C & E Asia, Australia"
"129","Limosa lapponica",3005,"Bar-tailed Godwit","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT","Bar-tailed Godwit","widespread winter visitor","Pakistan, W India, Bangladesh, Maldives, Sri Lanka, Lakshadweep, Nicobar, Indus Valley (Pakistan), NE Afghanistan","N Palearctic, Paleotropics"
"130","Limosa limosa",3003,"Black-tailed Godwit","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT","Black-tailed Godwit","widespread winter visitor","NW Afghanistan, Sind (Pakistan),Gangetic plain, Bihar, SE & C Nepal, Orissa, Manipur, NW Peninsula, Sri Lanka, E Afghanistan, Baluchistan, Lakshadweep, Maldives","W & C Palearctic, Africa, S Asia"
"131","Locustella certhiola",7590,"Pallas's Grasshopper-warbler","Locustellidae","LC","Pallas's Warbler","sparse winter visitor","NE Subcontinent ( C Nepal to Calcutta, Bangladesh, W Assam valley, Meghalaya), Sri Lanka, S Andamans, Afghanistan","C & E Palearctic, S China to W Indonesia"
