"","Scientific.name","SpcRecID","English.name","Family","Global.IUCN.Red.List.Category","Common.Name","Type.of.migration","Distribution.in.Indian.Sub.Continent","World.Distribution"
"1","Accipiter gentilis",3466,"Northern Goshawk","Accipitridae (Hawks, Eagles)","LC","Northern Goshawk","local resident & sparse winter visitor","Himalayas from Simla to Bhutan, Sind, Bangladesh","Holarctic, SE Tibet, N Myanmar"
"2","Accipiter nisus",3455,"Eurasian Sparrowhawk","Accipitridae (Hawks, Eagles)","LC","Eurasian Sparrowhawk","widespread winter visitor & resident","Baluchistan, Himalayas to Arunachal, N Afghanistan, Gilgit (Pakistan), N & SE Peninsula, S Assam hills, W & E Ghats, S Andaman","Palearctic, Africa to SE Asia"
"3","Accipiter soloensis",3428,"Chinese Sparrowhawk","Accipitridae (Hawks, Eagles)","LC","Chinese Goshawk","vagrant","Nicobar, Andaman","E Asia, Indonesia, Philippines"
"4","Acrocephalus agricola",7601,"Paddyfield Warbler","Acrocephalidae","LC","Paddyfield Warbler","widespread winter visitor","Terai, duars, N plains, C india, W Ghats, NE Bangladesh, E Afghanistan (Logar), Pakistan, N Baluchistan, Afghanistan","C Palearctic, NW China, SW Asia to North SE Asia"
"5","Acrocephalus bistrigiceps",7600,"Black-browed Reed-warbler","Acrocephalidae","LC","Black-browed Reed-Warbler","sparse winter visitor","N Subcontinent, Kashir to NE India, Bangladesh, Andamans, Chulta Bheel, Phalel, Manipur, Ladakh","NE Asia, SE Asia to W Indonesia"
"6","Acrocephalus dumetorum",7605,"Blyth's Reed-warbler","Acrocephalidae","LC","Blyth's Reed-Warbler","widespread winter visitor","S & N India, Bangladesh, Nepal, Sri Lanka, Pakistan, W,N & E Afghanistan","W & C Palearctic, Iran, Myanmar"
"7","Acrocephalus melanopogon",7596,"Moustached Warbler","Acrocephalidae","LC","Moustached Warbler","local resident & winter visitor","SE Afghanistan, Indus valley (Pakistan), NW India to Delhi, Oudh, Sehore (Madhya Pradesh, W & N Afghanistan, Baltistan","Palearctic"
"8","Aegypius monachus",3380,"Cinereous Vulture","Accipitridae (Hawks, Eagles)","NT","Cinereous Vulture","widespread winter visitor & local resident","Afghanistan, Baluchistan, Pakistan, NWFP, NW India to Bhutan, SW Kashmir, Cachar, C Bangladesh","C& S Palearctic"
"9","Alauda arvensis",1017239,"Eurasian Skylark","Alaudidae (Larks)","LC","Eurasian Skylark","sparse winter visitor","Afghanistan, Pakistan, Kashmir, Ladakh, W Gangetic plains","W Palearctic"
"10","Anas acuta",457,"Northern Pintail","Anatidae (Ducks, Geese, Swans)","LC","Northern Pintail","vagrant","SW & E Afghanistan, N Baluchistan, Indus valley, Sub-Himalayan region to Sri Lanka, Maldeves","Holarctic, N & S America, Cafrica, SE Asia, Philippines"
"11","Anas crecca",31027,"Common Teal","Anatidae (Ducks, Geese, Swans)","LC","Common Teal","widespread winter visitor","Afghanistan, Himalayas, Assam valley, Seistan, Bhutan, Kashmir, Sri Lanka, Maldives, Lakshadweep, Andamans","Holarctic, Tropic"
"12","Anas poecilorhyncha",32715,"Indian Spot-billed Duck","Anatidae (Ducks, Geese, Swans)","LC","Spot-billed Duck","widespread resident","Indus valley, N Baluchistan to Assam valley, S Assam hills, Bangladesh, Peninsula (Mannar), N Sri Lanka","S China, SE Asia"
"13","Anser albifrons",376,"Greater White-fronted Goose","Anatidae (Ducks, Geese, Swans)","LC","Greater White-fronted Goose","sparse winter visitor","N plains, Indus valley to E Uttar Pradesh, E India to Assam valley, Manipur, Chilka Lake, Afghanistan, Bangladesh","N & S Holarctic, W & E Myanmar"
"14","Anser anser",378,"Greylag Goose","Anatidae (Ducks, Geese, Swans)","LC","Greylag Goose","widespread winter visitor","Kandahar (SE Afghanistan), Baluchistan, N Gujarat, Panjab, Gangetic plains to Assam valley, Chilka Lake (Orissa), Sri Lanka, NW Himalayas, Indus valley","C Palearctic, SC Palearctic"
"15","Anser caerulescens",380,"Snow Goose","Anatidae (Ducks, Geese, Swans)","LC","Snow Goose","vagrant","N Kathiyawar Peninsula (Gujarat)","N America, E Siberia, Japan"
"16","Anser indicus",379,"Bar-headed Goose","Anatidae (Ducks, Geese, Swans)","LC","Bar-headed Goose","widespread winter visitor & local resident","Wakhan (NE Afghanistan), Ladakh, Indus Valley (Pakistan), N Plains, Assam valley, S Assam hills, Bangladesh, NE Peninsula, N Pakistan, Kashmir, Nepal, Bhutan","C Asia, Myanmar"
"17","Anthus campestris",8436,"Tawny Pipit","Motacillidae (Wagtails and pipits)","LC","Tawny Pipit","widespread winter visitor","Afghanistan, Pakistan to S W Bengal, Peninsula, SE Sri Lanka, Assam","W Palearctic to C Asia, C Africa, Mddle East"
"18","Anthus cervinus",8450,"Red-throated Pipit","Motacillidae (Wagtails and pipits)","LC","Red-throated Pipit","sparse passage migrant","NE Afghanistan, Indus valley (Pakistan), Himalayas, NE India, Maldives, S Andamans, Narcondam, Nicobars (Comorta)","N Palearctic, Alaska, Paleotropics"
"19","Anthus godlewskii",8437,"Blyth's Pipit","Motacillidae (Wagtails and pipits)","LC","Blyth's Pipit","widespread winter visitor","C & E Himalayas, Indian Peninsula, Sri Lanka, Nepal, Assam","S Siberia to China, SE Asia"
"20","Anthus hodgsoni",8447,"Olive-backed Pipit","Motacillidae (Wagtails and pipits)","LC","Olive-backed Pipit","widespread resident & winter visitor","Himalayas of Himachal to Arunachal, Rawal Lake (Pakistan), lower Himalayas to Adjacect plains, S Assam hills, Peninsula, Afghanistan, NW India, N Sri Lanka","C Palearctic, SE Asia, Philippines"
"21","Anthus richardi",1018054,"Richard's Pipit","Motacillidae (Wagtails and pipits)","LC","Richard's Pipit","widespread winter visitor","Most of Subcontinent, Sri Lanka, Bangladesh, S Andamans, N plains, NW Peninsula","E Asia, Paleotropics"
"22","Anthus rubescens",8454,"Buff-bellied Pipit","Motacillidae (Wagtails and pipits)","LC","Buff-bellied Pipit (American Pipit)","sparse winter visitor","Plains of N Subcontinent ( NE Afghanistan, N Pakistan, NE India), NC Pakistan","E Palearctic, N North America, ME & S China, S N America"
"23","Anthus spinoletta",8453,"Water Pipit","Motacillidae (Wagtails and pipits)","LC","Water Pipit","sparse winter visitor","NE Afghanistan, Pakistan, NW India, Afghanistan","Palearctic, Africa to China"
"24","Anthus trivialis",8446,"Tree Pipit","Motacillidae (Wagtails and pipits)","LC","Tree Pipit","local resident & widespread winter visitor","Himalayas of N Pakistan, Kashmir, Lahul, C India, Peninsula, Maldives, Lakshadweep","Palearctic, Africa, Middle East"
"25","Aquila heliaca",3535,"Eastern Imperial Eagle","Accipitridae (Hawks, Eagles)","VU","Imperial Eagle","widespread winter visitor","E Afghanistan, N plains, Montane valleys, Indus valley, Mekran coast, Bhutan, W bengal, Bangladesh","C & NE palearctic, E Africa, E Asia"
"26","Aquila nipalensis",3533,"Steppe Eagle","Accipitridae (Hawks, Eagles)","EN","Steppe Eagle","widespread winter visitor","E Afghanistan, N plains to Bhutan, Belgaum, C India, S Assam hills (E Meghalaya, Manipur), NW India","EC to NE Palearctic, Africa, SE Asia"
"27","Ardea cinerea",3715,"Grey Heron","Ardeidae (Herons)","LC","Grey Heron","widespread winter visitor & resident","NW & SW Afghanistan, Sind, NW & NE India, Kashmir, S Peninsula, Sri Lanka, NE & S Afghanistan to S Assam hills, Maldives, Lakshadweep, Andamans, Nicobars, Chagos","Eurasia, Africa"
"28","Ardea goliath",3722,"Goliath Heron","Ardeidae (Herons)","LC","Goliath Heron","vagrant & resident","Pakistan, C India, Culcutta, Assam, Sunderbans, SE & Bangladesh, Sri Lanka","Afica, Middle East"
"29","Ardea purpurea",3725,"Purple Heron","Ardeidae (Herons)","LC","Purple Heron","widespread winter visitor & resident","Seistan, Indus valley, NW India, NE & S Peninsula, Sri Lanka, Andamans, C Nicobars, N Andhra Pradesh, C Bangladesh, Maldives, Lakshadweep","S & C Eurasia, Africa"
"30","Arenaria interpres",3034,"Ruddy Turnstone","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Ruddy Turnstone","widespread winter visitor","Coasts from Baluchistan to Sri Lanka, Bangladesh, Maldives, Lakshadweep, Chagos, Andamans (South, small islets, Narcondam), C & S NIcobars, EC & NE Afghanistan (Lake Ab-i-Estada, Kabul), Kashmir, Gangetic plains, S Assam hills (Cachar, Manipur)","N Holarctic, Tropics"
"31","Asio flammeus",2322,"Short-eared Owl","Strigidae (Typical Owls)","LC","Short-eared Owl","winter visitor","NW & SE Afghanistan, sub-Himalayan Pakistan, Kashmir, Ladakh, Sub-Himalayan plains of N India, Nepal to Assam valley, S Assam hills (Khasi hills, Cachar, E Meghalaya, Manipur), C & S Bangladesh, Peninsula, Maldives, NWFP, N Pakistan, Gilgit, Sri Lanka, Ho","S America, North of Equator"
"32","Asio otus",2318,"Northern Long-eared Owl","Strigidae (Typical Owls)","LC","Long-eared Owl","local resident & winter visitor","NW & SW Afghanistan, Pakistan (Baluchistan, Chitral), Kashmir, NW India, W Uttaranchal, Delhi, Nepal, Bhutan","S Tibet, N Myanmar"
"33","Aythya baeri",478,"Baer's Pochard","Anatidae (Ducks, Geese, Swans)","CR","Baer's Pochard","sparse winter visitor","SE Nepal, Assam (hills & valley), NE Bangladesh, N Pakistan, Chilka Lake (Orissa)","SE Asia, NE Asia"
"34","Aythya ferina",472,"Common Pochard","Anatidae (Ducks, Geese, Swans)","VU","Common Pochard","widespread winter visitor","NE Afghanistan (Kabul), SW Afghanistan (Seistan), SE Afghanistan (Kandahar), Baluchistan, Indus Valley, N Plains to Assam valley, Peninsula, Ladakh, Nepal, Bhutan","Palearctic, C Africa, SE & E Asia"
"35","Aythya fuligula",480,"Tufted Duck","Anatidae (Ducks, Geese, Swans)","LC","Tufted Duck","widespread winter visitor","SW, SE & NE Afghanistan, Baluchistan, Indus valley, N plains to Assam valley, Peninsula, Sri Lanka, Maldives","Palearctic, C Africa, SE Asia"
"36","Aythya marila",482,"Greater Scaup","Anatidae (Ducks, Geese, Swans)","LC","Greater Scaup","sparse winter visitor","NE Afghanistan (Lake Kargah), N Pakistan, N plains to E Nepal, NE Bangladesh, Cachar","Holarctic"
"37","Aythya nyroca",476,"Ferruginous Duck","Anatidae (Ducks, Geese, Swans)","NT","Ferruginous Pochard","widespread winter visitor & local resident","SW Afghanistan (Seistan), NW & E Afghanistan, N Baluchistan, Kashmir valley, Peninsula, Sri Lanka, Maldives","Palearctic, C Africa, SE Asia"
"38","Botaurus stellaris",3766,"Eurasian Bittern","Ardeidae (Herons)","LC","Great Bittern","widespread winter visitor","N & SW Afghanistan, N Baluchistan, N Subcontinent, Peninsular India, Sri Lanka","C Palearctic, S Africa, SE Asia"
"39","Bubulcus ibis",3730,"Cattle Egret","Ardeidae (Herons)","LC","Cattle Egret","widespread resident","Seychelles, Chagos","SW Palearctic, E Iran, Africa"
"40","Bucephala clangula",494,"Common Goldeneye","Anatidae (Ducks, Geese, Swans)","LC","Common Goldeneye","sparse winter visitor","E & W Afghanistan, N Baluchistan, N Panjab, Gangetic plain to Assam valley, Manipur, NE Bangladesh, Nepal Himalayas","N, C & S Holarctic"
"41","Buteo buteo",1017018,"Eurasian Buzzard","Accipitridae (Hawks, Eagles)","LC","Common Buzzard","widespread winter visitor & local resident","W,N & S Pakistan,Kashmir, Uttar Pradesh, SW Ghats, Sri Lanka, Maldives","Palearctic, Africa, S Asia"
"42","Buteo hemilasius",3519,"Upland Buzzard","Accipitridae (Hawks, Eagles)","LC","Upland Buzzard","local resident & sparse winter visitor","E Ladakh, Himalayas (E Kashmir, Nepal, Sikkim, Darjeeling, Delhi","Tibet, NE Asia, EC Asia"
"43","Buteo rufinus",32719,"Long-legged Buzzard","Accipitridae (Hawks, Eagles)","LC","Long-legged Buzzard","widespread winter visitor & local resident","N & C Afghanistan, Kashmir, Pakistan, SW Afghanistan, NW & C India, Bhutan, N & C Bangladesh, Sri Lanka, W & N Subcontinent","SW & SC palearctic, Africa"
"44","Calandrella acutirostris",8155,"Hume's Lark","Alaudidae (Larks)","LC","Hume's Lark","local resident & widespread winter visitor","hills of E, W & C Afghanistan, Baluchistan, Himalayas from NW Pakistan to Bhutan, Gangetic plains from NW India to W Assam, Madhya Pradesh, S Bangladesh","C Asia, Tibet"
"45","Calidris alba",3042,"Sanderling","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Sanderling","widespread winter visitor","Coasts from Baluchistan to Sri Lanka, Bangladesh, Maldives, Lakshadweep, Chagos, Car NIcobars, E Afghanistan (Lake Ab-i-Estada, Kabul), Kashmir, Panjab (Pakistan & India), E Nepal, Bihar (Patna)","N Holarctic, S Holarctic"
"46","Calidris alpina",3056,"Dunlin","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Dunlin","sparse winter visitor","NE, NW & SW Afghanistan (Kabul, Seistan), Indus Valley, Mekran coast(Pakistan), Gangetic plain (Indian Panjab to Bihar), Gujarat, Bombay, Sri Lanka, Maldives, E Ladakh, S & NE Peninsula, NW coast of India","N Holarctic, S Northern Hemisphere"
"47","Calidris canutus",3041,"Red Knot","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT","Red Knot","vagrant","Sind, Pakistan, SE coast of India, Sri Lanka, S W-Bengal, SE Bangladesh, Baluchistan","N Holarctic"
"48","Calidris ferruginea",3057,"Curlew Sandpiper","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT","Curlew Sandpiper","widespread winter visitor","Pakistan(Lasbela, Sind), SE & NW India, Sri Lanka, Maldives, Chagos, Bangladesh, S Andamans, Car NIcobars, E Afghanistan, Indus Valley, Mekran coast(Pakistan), gangetic plains, W & NE coast of India, Khushdil Khan Lake (Baluchistan)","N Asia, Africa to Australia"
"49","Calidris minuta",3045,"Little Stint","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Little Stint","widespread winter visitor","S & E Afghanistan, coasts from Baluchistan to Sri Lanka, East coast of India, Maldives, Lakshadweep, Gangetic plains, Indus valley, India, Nepal, Assam","N palearctic, Africa to Myanmar"
"50","Calidris ruficollis",3046,"Red-necked Stint","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT","Rufous-necked Stint","sparse winter visitor","S Sind, Sri Lanka, Orissa, Bangladesh, Chagos, Andamans, Nicobars","N Asia, Australia"
"51","Calidris subminuta",3048,"Long-toed Stint","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Long-toed Stint","sparse winter visitor","Maldives, Sri Lanka, SE India, S W Bengal, SE Bangladesh, S Andamans, C Nepal, Gujarat, Gangetic plains, Assam valley, S India","N Asia, Australia"
"52","Calidris tenuirostris",3040,"Great Knot","Scolopacidae (Sandpipers, Snipes, Phalaropes)","EN","Great Knot","sparse winter visitor","Coasts from Pakistan to Sri Lanka, Bangladesh, S Andamans, Lakshadweep, NE India, Nasirabad","NE Asia, Australia"
"53","Caprimulgus europaeus",2401,"European Nightjar","Caprimulgidae (Nightjars)","LC","Eurasian Nightjar","sparse summer visitor","N & E Afghanistan, W & N Pakistan (Baluchistan, SC Pakistan, NWFP), Gilgit, Baltistan, Panjab & Indus plains, W India (Kutch, Jodhpur), Bombay, Garhwal, uttaranchal","Eurasia, Africa"
"54","Caprimulgus mahrattensis",2405,"Sykes's Nightjar","Caprimulgidae (Nightjars)","LC","Sykes's Nightjar","winter visitor","SW Afghanistan (Seistan), Indus Valley (Pakistan), Mekran coast, W India, Delhi, N Madhya Pradesh, Bombay","SE Iran"
"55","Carpodacus erythrinus",8854,"Common Rosefinch","Fringillidae (Finches and Hawaiian honeycreepers)","LC","Common Rosefinch","local resident & widespread winter visitor","S Afghanistan, E Baluchistan to Kashmir, Himalayas, Pune (N Maharashtra), Nagpur (E Madhya Pradesh), Assam, Ladakh, Arunachal, S India, Sri Lanka, S Assam hills, C & S Bangladesh, Nepal","Palearctic, SE Asia"
"56","Charadrius alexandrinus",1016711,"Kentish Plover","Charadriidae (Plovers)","LC","Kentish Plover","widespread winter visitor & resident","SW & E Afghanistan ( Seistan, Lake Ab-i-Estada, Kabul), N Baluchistan, Mekran & Sind coast to Gujarat, C Indus valley, E Pakistan, Bihar, Panjab,S India, Sri Lanka, N Indus Valley to W Assam valley, NW India, Maldives, Lakshadweep, Andamans, Nicobars","S palearctic, Africa to Indonesia, Philippines"
"57","Charadrius dubius",3119,"Little Ringed Plover","Charadriidae (Plovers)","LC","Little Ringed Plover","widespread winter visitor & resident","S Sind, Panjab, S Kashmir, S Jammu, Himalayas to Assam valley, S Assam hills ( Manipur Valley, Cacher), Bangladesh, Peninsula to Sri Lanka, N & C Afghanistan, SW Afghanistan (Chitral, Gilgit), N Baluchistan, Calcutta, Maldives, Andamans, Ganges valley,","palearctic, C Africa to Indonesia, Philippines"
"58","Charadrius hiaticula",3116,"Common Ringed Plover","Charadriidae (Plovers)","LC","Common Ringed Plover","vagrant","Sind, Pakistan coast, Maldives, SE India, Sri Lanka, SW & NE Afghanistan, E Pakistan, NW India","N Eurasia, NE N America, Africa, Middle East"
"59","Charadrius leschenaultii",3139,"Greater Sandplover","Charadriidae (Plovers)","LC","Greater Sand Plover","widespread winter visitor","NW & EC Afghanistan, Ladakh, Rupshu, Mekran coast to Sri Lanka, Bangladesh, Lakshadweep, Maldives, Andaman (Little & South), C & S Nicobars, NW India, Nepal, Chagos","Middle East to EC Asia, Africa to Austalasia"
"60","Charadrius mongolus",3138,"Lesser Sandplover","Charadriidae (Plovers)","LC","Mongolian Plover","widespread winter visitor","NE Afghanistan (Pamirs), Baltistan, Ladakh, Lahul (Nhimachal), N Sikkim, coasts from Mekran to Sri Lanka, Bangladesh, Maldives, Lakshadweep, S Andamans, Nicobars","C & NE Asia, Africa to Australasia"
"61","Charadrius placidus",3118,"Long-billed Plover","Charadriidae (Plovers)","LC","Long-billed Plover","sparse winter visitor","Nepal, N Uttar Pradesh to Assam valley, Manipur, Bangladesh, Delhi to Sri Lanka, Andamans","NE Asia to SW China, SE Tibet, N SE Asia"
"62","Chlidonias leucopterus",3291,"White-winged Tern","Laridae (Gulls, Terns, Skimmers)","LC","White-winged Tern","sparse winter visitor","S India, Sri Lanka, Maldives, NE Afghanistan (Kabul), Indus valley, NW Himalayas, Nepal, Bangladesh, coasts of Peninsula, S Andaman","C Eurasia, Africa to Australia"
"63","Chlidonias niger",3292,"Black Tern","Laridae (Gulls, Terns, Skimmers)","LC","Black Tern","vagrant","W & Peninsular India, Sri Lanka","W Palearctic, N America, W Coast of Africa, N Neotropics"
"64","Ciconia ciconia",3835,"White Stork","Ciconiidae (Storks)","LC","White Stork","widespread winter visitor","Gangetic plains, Gujarat, coasts of Peninsula, Sri Lanka, Afghanistan, Pakistan, NW India","Europe to C Asia, S Africa, Afica to W Asia"
"65","Ciconia nigra",3830,"Black Stork","Ciconiidae (Storks)","LC","Black Stork","widespread winter visitor","N Afghanistan, Pakistan, NW india,Assam valley, Gujarat, Delhi, C & S Bangladesh(Jamuna & Padma rivers), Sri Lanka","N & S Africa, E Asia"
"66","Circus aeruginosus",3399,"Western Marsh-harrier","Accipitridae (Hawks, Eagles)","LC","Western Marsh Harrier","widespread winter visitor","N Afghanistan, Sub-Himalayas from SE Afghanistan, Indus valley to Assam valley, S Assam hills (Meghalaya, Cachar, Manipur), Bangladesh, Peninsula, Sri Lanka, Maldives, S Andaman, Afghanistan, NW mountains, Ladakh, Lakshadweep","WC Palearctic, Africa, SE Asia"
"67","Circus cyaneus",1016807,"Hen Harrier","Accipitridae (Hawks, Eagles)","LC","Northern Harrier","widespread winter visitor","Afghanistan, W, N & S Pakistan, Himalayas to Assam valley, S Assam hills ( E Meghalaya, Cacher), S Gangetic plains","N & S palearctic, SE Asia"
"68","Circus macrourus",3409,"Pallid Harrier","Accipitridae (Hawks, Eagles)","NT","Pallid Harrier","widespread winter visitor","S to E Afghanistan, sub-Himalayan region, Sri lanka, Maldives, S Andaman, Afghanistan, NW Himalayas, Lakshadweep","E Europe to C Asia, Africa to SE Asia"
