time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-17T14:57:37.853Z,59.6296,-142.8127,8.8,2.9,ml,,,,0.96,ak,ak15518761,2017-03-17T15:10:04.237Z,"53km SSW of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-03-17T14:52:55.900Z,-6.4808,129.7401,190.31,5.1,mb,,37,2.148,1.24,us,us20008spm,2017-03-17T15:07:03.040Z,"238km NW of Saumlaki, Indonesia",earthquake,8.4,5.8,0.165,12,reviewed,us,us
2017-03-17T14:45:53.867Z,60.6015,-143.0157,10.9,3.2,ml,,,,1.08,ak,ak15518744,2017-03-17T18:03:56.349Z,"67km NNW of Cape Yakataga, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-03-17T14:12:04.570Z,36.0993333,-120.2106667,8.48,2.64,md,67,157,0.09033,0.07,nc,nc72777126,2017-03-18T05:07:02.207Z,"12km NW of Avenal, California",earthquake,0.26,0.45,0.163,70,reviewed,nc,nc
2017-03-17T14:01:42.970Z,11.1633,92.8458,49.65,4.9,mb,,61,0.499,1.42,us,us20008spa,2017-03-17T14:57:16.040Z,"56km S of Port Blair, India",earthquake,8.5,6.7,0.117,23,reviewed,us,us
2017-03-17T13:31:22.300Z,60.4695,-143.0726,8.3,2.9,ml,,,,0.75,ak,ak15517944,2017-03-17T13:41:35.194Z,"57km NW of Cape Yakataga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-03-17T13:00:26.260Z,35.9528,140.4554,56.63,4.5,mb,,154,1.913,0.69,us,us20008sp2,2017-03-18T06:39:39.712Z,"7km NNW of Katori-shi, Japan",earthquake,6.5,6.5,0.097,31,reviewed,us,us
2017-03-17T12:35:23.510Z,36.3821667,-120.956,6.27,2.52,md,70,93,0.06628,0.06,nc,nc72777111,2017-03-18T04:52:03.194Z,"24km NE of King City, California",earthquake,0.15,0.41,0.182,81,reviewed,nc,nc
2017-03-17T11:36:21.090Z,38.6193,73.063,130.29,4.5,mb,,58,1.552,1.17,us,us20008snk,2017-03-17T13:50:31.040Z,"60km SW of Karakul, Tajikistan",earthquake,7.1,6.1,0.192,8,reviewed,us,us
2017-03-17T11:30:59.200Z,18.6112,-64.7591,23,2.9,Md,4,320.4,0.31620698,0.05,pr,pr17076005,2017-03-17T15:53:33.365Z,"26km NW of Road Town, British Virgin Islands",earthquake,2,4.2,0,4,reviewed,pr,pr
2017-03-17T10:58:32.800Z,18.9936,-65.0282,29,3.1,Md,5,302.4,0.64229543,0.09,pr,pr17076004,2017-03-17T12:11:49.794Z,"72km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.7,8.5,0,5,reviewed,pr,pr
2017-03-17T10:32:12.790Z,10.4449,-86.0806,39.05,4.6,mwr,,101,0.546,1.2,us,us20008snc,2017-03-18T03:36:07.290Z,"48km W of Sardinal, Costa Rica",earthquake,5.5,6.8,0.049,40,reviewed,us,us
2017-03-17T10:27:21.223Z,63.6308,-150.836,1.1,2.8,ml,,,,1.09,ak,ak15515580,2017-03-17T10:37:59.732Z,"95km WSW of Healy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-03-17T10:18:39.190Z,-23.6077,-176.7702,108.65,5.5,mb,,47,5.709,1.21,us,us20008sn9,2017-03-17T12:21:32.257Z,"South of the Fiji Islands",earthquake,8.7,4.9,0.029,402,reviewed,us,us
2017-03-17T09:27:40.700Z,44.1413333,-125.8225,5,3.34,md,12,274,0.4747,2.06,uw,uw61258631,2017-03-17T18:10:33.483Z,"139km W of Florence, Oregon",earthquake,20.15,99,0.679,2,reviewed,uw,uw
2017-03-17T08:02:57.020Z,-32.4478,-71.7473,30.65,4.8,mwr,,68,0.396,0.75,us,us20008smr,2017-03-18T03:58:06.419Z,"48km W of La Ligua, Chile",earthquake,4.8,4.1,0.036,74,reviewed,us,us
2017-03-17T07:47:31.792Z,61.8951,-149.2233,3.9,3.8,ml,,,,0.82,ak,ak15514000,2017-03-18T08:17:11.964Z,"16km N of Fishhook, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-03-17T06:59:48.500Z,1.0171,126.1801,59.51,5.1,mb,,68,1.211,0.93,us,us20008smm,2017-03-17T07:18:15.040Z,"120km ESE of Bitung, Indonesia",earthquake,3.7,8.8,0.086,44,reviewed,us,us
